4001;Almeria;ALMERIA;Andalucia;Provincia de Almería
4002;El Palmer;EL PALMER;Andalucia;Provincia de Almería
4002;Almeria;ALMERIA;Andalucia;Provincia de Almería
4003;Almeria;ALMERIA;Andalucia;Provincia de Almería
4004;Almeria;ALMERIA;Andalucia;Provincia de Almería
4005;Almeria;ALMERIA;Andalucia;Provincia de Almería
4006;Almeria;ALMERIA;Andalucia;Provincia de Almería
4007;Almeria;ALMERIA;Andalucia;Provincia de Almería
4008;Almeria;ALMERIA;Andalucia;Provincia de Almería
4009;Almeria;ALMERIA;Andalucia;Provincia de Almería
4070;Almeria;ALMERIA;Andalucia;Provincia de Almería
4071;Almeria;ALMERIA;Andalucia;Provincia de Almería
4080;Almeria;ALMERIA;Andalucia;Provincia de Almería
4100;Nijar;NIJAR;Andalucia;Provincia de Almería
4110;Campohermoso;CAMPOHERMOSO;Andalucia;Provincia de Almería
4113;Atochares;ATOCHARES;Andalucia;Provincia de Almería
4113;El Viso;EL VISO;Andalucia;Provincia de Almería
4114;Polopos;POLOPOS;Andalucia;Provincia de Almería
4114;Tristanes;TRISTANES;Andalucia;Provincia de Almería
4114;Venta Del Pobre;VENTA DEL POBRE;Andalucia;Provincia de Almería
4114;Saladar Y Leche;SALADAR Y LECHE;Andalucia;Provincia de Almería
4114;Torre Del Campo;TORRE DEL CAMPO;Andalucia;Provincia de Almería
4114;Los Cortijillos;LOS CORTIJILLOS;Andalucia;Provincia de Almería
4115;Rodalquilar;RODALQUILAR;Andalucia;Provincia de Almería
4116;Las Negras;LAS NEGRAS;Andalucia;Provincia de Almería
4116;Hortichuelas;HORTICHUELAS;Andalucia;Provincia de Almería
4116;Fernanperez;FERNANPEREZ;Andalucia;Provincia de Almería
4116;Hornillos;HORNILLOS;Andalucia;Provincia de Almería
4116;Albaricoques;ALBARICOQUES;Andalucia;Provincia de Almería
4117;Pozo De Los Frailes;POZO DE LOS FRAILES;Andalucia;Provincia de Almería
4117;Boca De Los Frailes;BOCA DE LOS FRAILES;Andalucia;Provincia de Almería
