municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Fresnedillas de la Oliva;2020/10/13 13:31:00;;;5;318,07;39;2480,92;565
Valdilecha;2020/10/13 13:31:00;;;24;818,27;143;4875,55;1659
El Berrueco;2020/10/13 13:31:00;;;5;657,89;37;4868,42;210
Pezuela de las Torres;2020/10/13 13:31:00;;;;356,29;13;1543,94;1111
Villar del Olmo;2020/10/13 13:31:00;;;;99,45;52;2585,78;1795
Guadarrama;2020/10/13 13:31:00;;;103;642,47;528;3293,41;685
San Martín de Valdeiglesias;2020/10/13 13:31:00;;;18;212,79;296;3499,23;1338
Torrelodones;2020/10/13 13:31:00;;;79;333,09;716;3018,93;1527
Boadilla del Monte;2020/10/13 13:31:00;;;152;278,54;1172;2147,7;225
Torrejón de Velasco;2020/10/13 13:31:00;;;18;410,77;154;3514,38;1505
Villanueva de Perales;2020/10/13 13:31:00;;;9;575,82;18;1151,63;1782
Tielmes;2020/10/13 13:31:00;;;10;377,36;146;5509,43;1467
San Sebastián de los Reyes;2020/10/13 13:31:00;;;329;368,52;3458;3873,38;1343
Guadalix de la Sierra;2020/10/13 13:31:00;;;12;193,11;166;2671,39;679
Humanes de Madrid;2020/10/13 13:31:00;;;101;511,57;980;4963,78;730
Chinchón;2020/10/13 13:31:00;;;19;356,41;135;2532,36;528
Cadalso de los Vidrios;2020/10/13 13:31:00;;;10;329,06;56;1842,71;318
Hoyo de Manzanares;2020/10/13 13:31:00;;;36;426,84;163;1932,65;724
Torrejón de la Calzada;2020/10/13 13:31:00;;;41;462,13;316;3561,77;1492
Estremera;2020/10/13 13:31:00;;;;238,1;32;2539,68;552
Corpa;2020/10/13 13:31:00;;;;140,25;16;2244,04;480
Meco;2020/10/13 13:31:00;;;16;111,85;364;2544,56;838
Madarcos;2020/10/13 13:31:00;;;;2083,33;;2083,33;783
Zarzalejo;2020/10/13 13:31:00;;;11;663,45;69;4161,64;1837
Arganda del Rey;2020/10/13 13:31:00;;;343;619,26;1983;3580,13;148
Collado Mediano;2020/10/13 13:31:00;;;38;546,13;153;2198,91;468
Daganzo de Arriba;2020/10/13 13:31:00;;;49;480,16;244;2390,98;534
Manzanares El Real;2020/10/13 13:31:00;;;36;407,24;224;2533,94;822
Buitrago del Lozoya;2020/10/13 13:31:00;;;;106,16;64;3397,03;278
Valdelaguna;2020/10/13 13:31:00;;;;426,89;17;1814,3;1570
Valdepiélagos;2020/10/13 13:31:00;;;7;1198,63;17;2910,96;1631
Casarrubuelos;2020/10/13 13:31:00;;;19;502,91;144;3811,54;360
Miraflores de la Sierra;2020/10/13 13:31:00;;;19;311,07;132;2161,1;856
Paracuellos de Jarama;2020/10/13 13:31:00;;;118;466,98;647;2560,45;1049
El Vellón;2020/10/13 13:31:00;;;17;868,23;87;4443,31;1684
Lozoya;2020/10/13 13:31:00;;;;0;5;860,59;761
Collado Villalba;2020/10/13 13:31:00;;;333;522,94;2320;3643,27;474
Colmenarejo;2020/10/13 13:31:00;;;57;624,32;232;2541,07;442
Villavieja del Lozoya;2020/10/13 13:31:00;;;;0;;1185,77;1821
Prádena del Rincón;2020/10/13 13:31:00;;;;0;;854,7;1179
La Cabrera;2020/10/13 13:31:00;;;17;637,42;94;3524,56;301
Sevilla la Nueva;2020/10/13 13:31:00;;;26;279,03;299;3208,84;1415
Redueña;2020/10/13 13:31:00;;;;0;6;2307,69;1219
Robledillo de la Jara;2020/10/13 13:31:00;;;;0;;1250;1245
La Serna del Monte;2020/10/13 13:31:00;;;;0;;2469,14;1381
Colmenar de Oreja;2020/10/13 13:31:00;;;25;311,25;165;2054,28;437
Rozas de Puerto Real;2020/10/13 13:31:00;;;;0;17;3207,55;1283
Valdemanco;2020/10/13 13:31:00;;;;328,23;18;1969,37;1586
Brunete;2020/10/13 13:31:00;;;36;335,32;280;2608,05;262
Titulcia;2020/10/13 13:31:00;;;5;380,81;21;1599,39;1473
Villa del Prado;2020/10/13 13:31:00;;;24;368,1;444;6809,82;1718
Lozoyuela-Navas-Sieteiglesias;2020/10/13 13:31:00;;;6;461,89;28;2155,5;9015
Quijorna;2020/10/13 13:31:00;;;13;378,02;89;2587,96;1198
Valdemoro;2020/10/13 13:31:00;;;230;302,7;2060;2711,13;1610
Tres Cantos;2020/10/13 13:31:00;;;178;372,99;1138;2384,64;9036
Torrelaguna;2020/10/13 13:31:00;;;19;399,16;201;4222,69;1512
Rivas-Vaciamadrid;2020/10/13 13:31:00;;;329;373,23;2709;3073,17;1230
El Atazar;2020/10/13 13:31:00;;;;0;;1123,6;164
Pedrezuela;2020/10/13 13:31:00;;;18;305,5;156;2647,66;1087
Santa María de la Alameda;2020/10/13 13:31:00;;;7;558,21;30;2392,34;1356
Arroyomolinos;2020/10/13 13:31:00;;;132;420,44;738;2350,62;151
Moralzarzal;2020/10/13 13:31:00;;;54;414,56;307;2356,82;908
Canencia;2020/10/13 13:31:00;;;;223,71;16;3579,42;344
Villarejo de Salvanés;2020/10/13 13:31:00;;;46;627,13;244;3326,52;1809
Serranillos del Valle;2020/10/13 13:31:00;;;15;360,14;151;3625,45;1408
Villaviciosa de Odón;2020/10/13 13:31:00;;;89;319,74;646;2320,82;1816
Camarma de Esteruelas;2020/10/13 13:31:00;;;14;190,84;126;1717,56;323
Robledo de Chavela;2020/10/13 13:31:00;;;24;562,06;91;2131,15;1258
Patones;2020/10/13 13:31:00;;;;0;26;4805,91;1071
Navalagamella;2020/10/13 13:31:00;;;18;689,66;87;3333,33;954
Rascafría;2020/10/13 13:31:00;;;6;360,58;41;2463,94;1202
El Boalo;2020/10/13 13:31:00;;;46;612,68;207;2757,06;231
Majadahonda;2020/10/13 13:31:00;;;458;637,65;2515;3501,52;800
Batres;2020/10/13 13:31:00;;;6;356,29;39;2315,91;170
Alcobendas;2020/10/13 13:31:00;;;467;399,01;5655;4831,68;66
Alcalá de Henares;2020/10/13 13:31:00;;;611;312,29;6381;3261,45;53
Colmenar Viejo;2020/10/13 13:31:00;;;362;713,27;1875;3694,44;455
San Fernando de Henares;2020/10/13 13:31:00;;;139;352,51;1438;3646,78;1300
Villalbilla;2020/10/13 13:31:00;;;30;216,17;285;2053,61;1723
El Escorial;2020/10/13 13:31:00;;;37;228,93;394;2437,82;549
Colmenar del Arroyo;2020/10/13 13:31:00;;;8;463,77;92;5333,33;421
Torrejón de Ardoz;2020/10/13 13:31:00;;;478;363,84;5527;4207,01;1489
Piñuécar-Gandullas;2020/10/13 13:31:00;;;;0;;1621,62;1147
Brea de Tajo;2020/10/13 13:31:00;;;;763,36;27;5152,67;259
El Molar;2020/10/13 13:31:00;;;52;581,79;244;2729,92;869
Belmonte de Tajo;2020/10/13 13:31:00;;;8;480,77;31;1862,98;199
Torres de la Alameda;2020/10/13 13:31:00;;;31;398,51;262;3368,04;1548
Somosierra;2020/10/13 13:31:00;;;;0;;2325,58;1436
Alpedrete;2020/10/13 13:31:00;;;70;480,27;421;2888,51;105
Orusco de Tajuña;2020/10/13 13:31:00;;;6;482,32;54;4340,84;1028
La Hiruela;2020/10/13 13:31:00;;;;0;;3508,77;698
Cervera de Buitrago;2020/10/13 13:31:00;;;;2000;8;5333,33;395
Getafe;2020/10/13 13:31:00;;;835;455,35;7048;3843,51;650
Ribatejada;2020/10/13 13:31:00;;;;255,43;17;2171,14;1224
Villaconejos;2020/10/13 13:31:00;;;22;649,35;107;3158,21;1701
Valdetorres de Jarama;2020/10/13 13:31:00;;;11;244,61;90;2001,33;1646
Puebla de la Sierra;2020/10/13 13:31:00;;;;0;;0;
Robregordo;2020/10/13 13:31:00;;;;0;;0;
La Acebeda;2020/10/13 13:31:00;;;;0;;0;
Horcajuelo de la Sierra;2020/10/13 13:31:00;;;;0;;0;
Pozuelo de Alarcón;2020/10/13 13:31:00;;;431;498,72;2738;3168,17;1150
Madrid-Retiro;2020/10/06 11:02:00;100;83,81;620;519,62;4230;3545,18;79603
Madrid-Salamanca;2020/10/06 11:02:00;161;110,2;825;564,67;5134;3513,94;79604
Madrid-Centro;2020/10/06 11:02:00;241;178,72;768;569,53;5200;3856,19;79601
Madrid-Arganzuela;2020/10/06 11:02:00;78;50,71;784;509,74;5673;3688,48;79602
Madrid-Chamartín;2020/10/06 11:02:00;94;64,45;701;480,63;4874;3341,81;79605
Madrid-Tetuán;2020/10/06 11:02:00;99;62,65;921;582,83;6354;4020,93;79606
Madrid-Chamberí;2020/10/06 11:02:00;78;55,96;671;481,42;4462;3201,34;79607
Madrid-Fuencarral-El Pardo;2020/10/06 11:02:00;110;44,73;1159;471,26;7934;3226;79608
Madrid-Moncloa-Aravaca;2020/10/06 11:02:00;52;43,54;603;504,94;4046;3388,07;79609
Madrid-Latina;2020/10/06 11:02:00;303;127,19;1376;577,62;9746;4091,21;79610
Madrid-Carabanchel;2020/10/06 11:02:00;469;185,3;1816;717,51;13051;5156,48;79611
Madrid-Usera;2020/10/06 11:02:00;549;392,87;1178;842,99;8069;5774,25;79612
Madrid-Puente de Vallecas;2020/10/06 11:02:00;779;331,69;2239;953,35;15493;6596,78;79613
Madrid-San Blas - Canillejas;2020/10/06 11:02:00;104;65,76;918;580,49;6046;3823,15;79620
Madrid-Barajas;2020/10/06 11:02:00;14;28,6;165;337,11;1531;3128;79621
Madrid-Moratalaz;2020/10/06 11:02:00;97;102,57;640;676,75;4025;4256,11;79614
Madrid-Ciudad Lineal;2020/10/06 11:02:00;194;89,7;1227;567,31;9105;4209,74;79615
Madrid-Hortaleza;2020/10/06 11:02:00;92;48,89;869;461,77;5705;3031,56;79616
Madrid-Villaverde;2020/10/06 11:02:00;516;346,43;1256;843,26;8180;5491,92;79617
Madrid-Villa de Vallecas;2020/10/06 11:02:00;81;73,39;730;661,44;4853;4397,23;79618
Madrid-Vicálvaro;2020/10/06 11:02:00;78;108,2;491;681,08;2970;4119,79;79619
Alcorcón;2020/10/06 11:02:00;27;15,83;914;536,03;6059;3553,37;72
Navalcarnero;2020/10/06 11:02:00;7;23,89;124;423,24;691;2358,52;967
San Agustín del Guadalix;2020/10/06 11:02:00;;22,42;81;605,43;435;3251,36;1296
Las Rozas de Madrid;2020/10/06 11:02:00;35;36,53;339;353,81;2218;2314,9;1277
Moraleja de Enmedio;2020/10/06 11:02:00;;58,41;26;506,23;179;3485,2;894
Valdaracete;2020/10/06 11:02:00;;0;;656,81;35;5747,13;1551
Pozuelo del Rey;2020/10/06 11:02:00;;0;;0;11;959,02;1163
Puebla de la Sierra;2020/10/06 11:02:00;;0;;0;;1538,46;1185
Perales de Tajuña;2020/10/06 11:02:00;;34,07;8;272,57;103;3509,37;1104
Valdemorillo;2020/10/06 11:02:00;;15,98;56;447,36;273;2180,86;1603
Navalafuente;2020/10/06 11:02:00;;69,01;;138,03;40;2760,52;941
Velilla de San Antonio;2020/10/06 11:02:00;8;65,38;72;588,43;391;3195,49;1678
Villanueva de la Cañada;2020/10/06 11:02:00;6;27,98;103;480,3;464;2163,67;1760
Villanueva del Pardillo;2020/10/06 11:02:00;7;40,75;70;407,45;409;2380,68;1776
Nuevo Baztán;2020/10/06 11:02:00;7;111,54;27;430,21;179;2852,14;1006
Villamantilla;2020/10/06 11:02:00;;0;;208,19;21;1457,32;1757
Villamanta;2020/10/06 11:02:00;;78,28;27;1056,75;79;3091,98;1744
Cabanillas de la Sierra;2020/10/06 11:02:00;;132,28;;132,28;29;3835,98;297
Cenicientos;2020/10/06 11:02:00;;49,19;14;688,64;81;3984,26;376
Puentes Viejas;2020/10/06 11:02:00;;147,28;;147,28;12;1767,3;9020
Aranjuez;2020/10/06 11:02:00;62;104,01;314;526,78;1911;3206;133
Cercedilla;2020/10/06 11:02:00;;28,47;28;398,52;235;3344,72;382
Santorcaz;2020/10/06 11:02:00;;0;11;1241,53;24;2708,8;1369
Coslada;2020/10/06 11:02:00;70;85,72;514;629,43;3077;3768,02;493
Morata de Tajuña;2020/10/06 11:02:00;16;208,25;58;754,91;340;4425,35;915
Navarredonda y San Mamés;2020/10/06 11:02:00;;0;;0;;2325,58;973
Venturada;2020/10/06 11:02:00;;46,23;12;554,79;66;3051,32;1697
Navacerrada;2020/10/06 11:02:00;;0;5;168,24;63;2119,78;936
Montejo de la Sierra;2020/10/06 11:02:00;;0;;283,29;11;3116,15;881
Fresno de Torote;2020/10/06 11:02:00;;0;;45,02;43;1936,06;571
Pinilla del Valle;2020/10/06 11:02:00;;0;;0;;523,56;1126
Valdemaqueda;2020/10/06 11:02:00;;128,04;;384,12;18;2304,74;1599
Navas del Rey;2020/10/06 11:02:00;;0;15;514,05;124;4249,49;992
Olmeda de las Fuentes;2020/10/06 11:02:00;;0;;287,36;10;2873,56;1013
Bustarviejo;2020/10/06 11:02:00;;79,9;;159,81;25;998,8;284
Becerril de la Sierra;2020/10/06 11:02:00;;17,5;26;455,02;120;2100,11;186
Fuenlabrada;2020/10/06 11:02:00;392;202,37;1482;765,1;8288;4278,78;587
Garganta de los Montes;2020/10/06 11:02:00;;0;;576,37;;1152,74;626
Pinto;2020/10/06 11:02:00;20;38,08;253;481,67;1351;2572,06;1132
Alameda del Valle;2020/10/06 11:02:00;;0;;500;;500;35
Berzosa del Lozoya;2020/10/06 11:02:00;;0;;0;8;3902,44;203
Los Santos de la Humosa;2020/10/06 11:02:00;;0;12;463,32;65;2509,65;1375
El Álamo;2020/10/06 11:02:00;;21,12;37;390,71;285;3009,5;40
Pelayos de la Presa;2020/10/06 11:02:00;;77,04;13;500,77;83;3197,23;1090
Galapagar;2020/10/06 11:02:00;10;29,64;150;444,55;1089;3227,43;611
Griñón;2020/10/06 11:02:00;7;67,84;72;697,74;434;4205,83;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/10/06 11:02:00;;0;;0;5;1582,28;632
Aldea del Fresno;2020/10/06 11:02:00;;0;29;1021,85;120;4228,33;88
Carabaña;2020/10/06 11:02:00;;149,25;9;447,76;57;2835,82;357
Talamanca de Jarama;2020/10/06 11:02:00;;0;10;259,27;129;3344,57;1454
Chapinería;2020/10/06 11:02:00;;0;13;558,42;49;2104,81;513
Ciempozuelos;2020/10/06 11:02:00;6;24,4;82;333,44;715;2907,45;409
Ajalvir;2020/10/06 11:02:00;;0;9;191;92;1952,46;29
San Lorenzo de El Escorial;2020/10/06 11:02:00;;21,78;53;288,53;413;2248,35;1317
Gascones;2020/10/06 11:02:00;;0;;0;;1036,27;647
San Martín de la Vega;2020/10/06 11:02:00;11;57,38;84;438,18;530;2764,74;1322
Móstoles;2020/10/06 11:02:00;35;16,73;972;464,66;7225;3453,9;920
Leganés;2020/10/06 11:02:00;316;166,44;1108;583,58;7692;4051,38;745
Braojos;2020/10/06 11:02:00;;0;;975,61;8;3902,44;246
Cubas de la Sagra;2020/10/06 11:02:00;5;77,97;44;686,11;246;3835,96;506
Algete;2020/10/06 11:02:00;;19,41;118;572,51;718;3483,58;91
Mejorada del Campo;2020/10/06 11:02:00;11;47,26;83;356,62;706;3033,43;843
Loeches;2020/10/06 11:02:00;;45,5;49;557,39;244;2775,57;758
Parla;2020/10/06 11:02:00;346;265,9;1148;882,24;6324;4859,98;1065
Fuentidueña de Tajo;2020/10/06 11:02:00;;97,42;19;925,47;85;4140,28;604
Ambite;2020/10/06 11:02:00;;0;5;844,59;28;4729,73;112
Torremocha de Jarama;2020/10/06 11:02:00;;98,14;5;490,68;25;2453,39;1533
Anchuelo;2020/10/06 11:02:00;;0;;314,71;25;1966,96;127
Los Molinos;2020/10/06 11:02:00;;22,78;37;843,02;163;3713,83;875
Soto del Real;2020/10/06 11:02:00;;11,36;25;284,12;173;1966,13;1441
Valverde de Alcalá;2020/10/06 11:02:00;;0;;215,05;10;2150,54;1662
Fuente el Saz de Jarama;2020/10/06 11:02:00;;0;22;328,55;269;4017,32;590
Horcajo de la Sierra-Aoslos;2020/10/06 11:02:00;;0;;0;5;3448,28;702
Valdeolmos-Alalpardo;2020/10/06 11:02:00;5;120,89;19;459,38;92;2224,37;1625
Campo Real;2020/10/06 11:02:00;9;144,93;38;611,92;233;3752,01;339
Valdeavero;2020/10/06 11:02:00;;0;;193,05;21;1351,35;1564
Villamanrique de Tajo;2020/10/06 11:02:00;;0;;142,25;8;1137,98;1739
Cobeña;2020/10/06 11:02:00;;40,39;42;565,43;259;3486,81;416
Fresnedillas de la Oliva;2020/10/06 11:02:00;;0;;190,84;34;2162,85;565
Valdilecha;2020/10/06 11:02:00;7;238,66;22;750,09;123;4193,66;1659
El Berrueco;2020/10/06 11:02:00;;131,58;;526,32;33;4342,11;210
Pezuela de las Torres;2020/10/06 11:02:00;;0;7;831,35;13;1543,94;1111
Villar del Olmo;2020/10/06 11:02:00;;49,73;8;397,81;51;2536,05;1795
Guadarrama;2020/10/06 11:02:00;14;87,33;73;455,34;454;2831,84;685
San Martín de Valdeiglesias;2020/10/06 11:02:00;;11,82;20;236,43;286;3381,01;1338
Torrelodones;2020/10/06 11:02:00;;12,65;87;366,83;671;2829,19;1527
Boadilla del Monte;2020/10/06 11:02:00;;7,33;160;293,2;1078;1975,44;225
Torrejón de Velasco;2020/10/06 11:02:00;6;136,92;30;684,62;144;3286,17;1505
Villanueva de Perales;2020/10/06 11:02:00;;0;5;319,9;13;831,73;1782
Tielmes;2020/10/06 11:02:00;;113,21;20;754,72;140;5283,02;1467
San Sebastián de los Reyes;2020/10/06 11:02:00;39;43,68;508;569,02;3307;3704,24;1343
Guadalix de la Sierra;2020/10/06 11:02:00;;32,19;26;418,41;160;2574,83;679
Humanes de Madrid;2020/10/06 11:02:00;48;243,12;150;759,76;939;4756,12;730
Chinchón;2020/10/06 11:02:00;;37,52;16;300,13;122;2288,5;528
Cadalso de los Vidrios;2020/10/06 11:02:00;;32,91;10;329,06;48;1579,47;318
Hoyo de Manzanares;2020/10/06 11:02:00;;23,71;38;450,56;152;1802,23;724
Torrejón de la Calzada;2020/10/06 11:02:00;;45,09;55;619,93;290;3268,71;1492
Estremera;2020/10/06 11:02:00;;158,73;6;476,19;30;2380,95;552
Corpa;2020/10/06 11:02:00;;0;;420,76;16;2244,04;480
Meco;2020/10/06 11:02:00;;13,98;23;160,78;351;2453,69;838
Zarzalejo;2020/10/06 11:02:00;;0;9;542,82;64;3860,07;1837
Arganda del Rey;2020/10/06 11:02:00;126;227,48;444;801,6;1809;3265,99;148
Collado Mediano;2020/10/06 11:02:00;;14,37;50;718,6;145;2083,93;468
Daganzo de Arriba;2020/10/06 11:02:00;;0;51;499,76;217;2126,41;534
Manzanares El Real;2020/10/06 11:02:00;5;56,56;46;520,36;203;2296,38;822
Buitrago del Lozoya;2020/10/06 11:02:00;;53,08;6;318,47;64;3397,03;278
Valdelaguna;2020/10/06 11:02:00;;0;;320,17;14;1494,13;1570
Valdepiélagos;2020/10/06 11:02:00;;0;8;1369,86;15;2568,49;1631
Casarrubuelos;2020/10/06 11:02:00;6;158,81;31;820,54;135;3573,32;360
Miraflores de la Sierra;2020/10/06 11:02:00;;16,37;19;311,07;117;1915,52;856
Paracuellos de Jarama;2020/10/06 11:02:00;8;31,66;113;447,19;588;2326,96;1049
El Vellón;2020/10/06 11:02:00;;102,15;10;510,73;75;3830,44;1684
Lozoya;2020/10/06 11:02:00;;0;;0;5;860,59;761
Collado Villalba;2020/10/06 11:02:00;17;26,7;400;628,15;2140;3360,61;474
Colmenarejo;2020/10/06 11:02:00;;0;53;580,5;205;2245,35;442
Villavieja del Lozoya;2020/10/06 11:02:00;;0;;0;;1185,77;1821
Prádena del Rincón;2020/10/06 11:02:00;;0;;0;;854,7;1179
La Cabrera;2020/10/06 11:02:00;;0;19;712,41;84;3149,61;301
Sevilla la Nueva;2020/10/06 11:02:00;;10,73;23;246,83;289;3101,52;1415
Redueña;2020/10/06 11:02:00;;0;;0;6;2307,69;1219
Robledillo de la Jara;2020/10/06 11:02:00;;0;;0;;1250;1245
La Serna del Monte;2020/10/06 11:02:00;;0;;0;;2469,14;1381
Colmenar de Oreja;2020/10/06 11:02:00;5;62,25;26;323,71;146;1817,73;437
Rozas de Puerto Real;2020/10/06 11:02:00;;188,68;;377,36;17;3207,55;1283
Valdemanco;2020/10/06 11:02:00;;0;;328,23;16;1750,55;1586
Brunete;2020/10/06 11:02:00;;37,26;39;363,26;264;2459,02;262
Titulcia;2020/10/06 11:02:00;;0;;152,32;18;1370,91;1473
Villa del Prado;2020/10/06 11:02:00;;30,67;61;935,58;433;6641,1;1718
Lozoyuela-Navas-Sieteiglesias;2020/10/06 11:02:00;;0;;76,98;22;1693,61;9015
Quijorna;2020/10/06 11:02:00;;29,08;13;378,02;78;2268,1;1198
Valdemoro;2020/10/06 11:02:00;19;25,01;221;290,85;1927;2536,09;1610
Tres Cantos;2020/10/06 11:02:00;17;35,62;195;408,62;1061;2223,29;9036
Torrelaguna;2020/10/06 11:02:00;;63,03;34;714,29;195;4096,64;1512
Rivas-Vaciamadrid;2020/10/06 11:02:00;75;85,08;419;475,33;2506;2842,88;1230
El Atazar;2020/10/06 11:02:00;;0;;0;;1123,6;164
Pedrezuela;2020/10/06 11:02:00;5;84,86;38;644,94;138;2342,16;1087
Santa María de la Alameda;2020/10/06 11:02:00;;0;11;877,19;28;2232,85;1356
Arroyomolinos;2020/10/06 11:02:00;5;15,93;120;382,21;649;2067,14;151
Moralzarzal;2020/10/06 11:02:00;;0;57;437,59;279;2141,87;908
Canencia;2020/10/06 11:02:00;;223,71;;894,85;15;3355,7;344
Villarejo de Salvanés;2020/10/06 11:02:00;10;136,33;60;818;223;3040,22;1809
Serranillos del Valle;2020/10/06 11:02:00;;0;16;384,15;141;3385,35;1408
Villaviciosa de Odón;2020/10/06 11:02:00;6;21,56;77;276,63;594;2134;1816
Camarma de Esteruelas;2020/10/06 11:02:00;;13,63;20;272,63;120;1635,77;323
Robledo de Chavela;2020/10/06 11:02:00;;0;19;444,96;75;1756,44;1258
Patones;2020/10/06 11:02:00;;0;;0;26;4805,91;1071
Navalagamella;2020/10/06 11:02:00;;38,31;32;1226,05;81;3103,45;954
Rascafría;2020/10/06 11:02:00;;60,1;6;360,58;37;2223,56;1202
El Boalo;2020/10/06 11:02:00;;53,28;64;852,42;177;2357,49;231
Majadahonda;2020/10/06 11:02:00;27;37,59;376;523,49;2230;3104,73;800
Batres;2020/10/06 11:02:00;;118,76;5;296,91;28;1662,71;170
Alcobendas;2020/10/06 11:02:00;63;53,83;705;602,36;5414;4625,77;66
Alcalá de Henares;2020/10/06 11:02:00;78;39,87;777;397,14;5983;3058,03;53
Colmenar Viejo;2020/10/06 11:02:00;37;72,9;389;766,47;1677;3304,3;455
San Fernando de Henares;2020/10/06 11:02:00;35;88,76;229;580,75;1355;3436,3;1300
Villalbilla;2020/10/06 11:02:00;;14,41;40;288,23;261;1880,67;1723
El Escorial;2020/10/06 11:02:00;;12,37;37;228,93;369;2283,13;549
Colmenar del Arroyo;2020/10/06 11:02:00;;57,97;14;811,59;90;5217,39;421
Torrejón de Ardoz;2020/10/06 11:02:00;51;38,82;850;647;5278;4017,48;1489
Piñuécar-Gandullas;2020/10/06 11:02:00;;0;;0;;1621,62;1147
Brea de Tajo;2020/10/06 11:02:00;;0;6;1145,04;25;4770,99;259
El Molar;2020/10/06 11:02:00;;33,56;46;514,66;208;2327,14;869
Belmonte de Tajo;2020/10/06 11:02:00;;120,19;;180,29;24;1442,31;199
Torres de la Alameda;2020/10/06 11:02:00;;25,71;33;424,22;243;3123,79;1548
Somosierra;2020/10/06 11:02:00;;0;;0;;2325,58;1436
Alpedrete;2020/10/06 11:02:00;;0;66;452,83;378;2593,48;105
Orusco de Tajuña;2020/10/06 11:02:00;;80,39;10;803,86;49;3938,91;1028
La Hiruela;2020/10/06 11:02:00;;0;;0;;3508,77;698
Cervera de Buitrago;2020/10/06 11:02:00;;0;;2000;6;4000;395
Getafe;2020/10/06 11:02:00;170;92,71;1256;684,94;6647;3624,83;650
Ribatejada;2020/10/06 11:02:00;;0;;383,14;16;2043,42;1224
Villaconejos;2020/10/06 11:02:00;8;236,13;43;1269,19;101;2981,11;1701
Valdetorres de Jarama;2020/10/06 11:02:00;;44,47;14;311,32;79;1756,73;1646
Robregordo;2020/10/06 11:02:00;;0;;0;;0;
Horcajuelo de la Sierra;2020/10/06 11:02:00;;0;;0;;0;
Madarcos;2020/10/06 11:02:00;;0;;0;;0;
La Acebeda;2020/10/06 11:02:00;;0;;0;;0;
Pozuelo de Alarcón;2020/10/06 11:02:00;29;33,56;437;505,66;2503;2896,25;1150
Madrid-Retiro;2020/09/29 11:15:00;253;212,04;745;624,39;3940;3302,13;79603
Madrid-Salamanca;2020/09/29 11:15:00;404;276,52;1120;766,58;4770;3264,8;79604
Madrid-Centro;2020/09/29 11:15:00;347;257,33;1016;753,44;4820;3574,39;79601
Madrid-Arganzuela;2020/09/29 11:15:00;310;201,56;1051;683,34;5293;3441,42;79602
Madrid-Chamartín;2020/09/29 11:15:00;259;177,58;915;627,36;4543;3114,87;79605
Madrid-Tetuán;2020/09/29 11:15:00;263;166,43;1150;727,74;5863;3710,22;79606
Madrid-Chamberí;2020/09/29 11:15:00;126;90,4;778;558,19;3885;2787,36;79607
Madrid-Fuencarral-El Pardo;2020/09/29 11:15:00;327;132,96;1381;561,52;7347;2987,33;79608
Madrid-Moncloa-Aravaca;2020/09/29 11:15:00;155;129,8;698;584,5;3756;3145,23;79609
Madrid-Latina;2020/09/29 11:15:00;480;201,5;1828;767,36;8202;3443,06;79610
Madrid-Carabanchel;2020/09/29 11:15:00;772;305,02;2431;960,49;11656;4605,31;79611
Madrid-Usera;2020/09/29 11:15:00;428;306,28;1466;1049,08;7479;5352,04;79612
Madrid-Puente de Vallecas;2020/09/29 11:15:00;866;368,74;2785;1185,83;14397;6130,11;79613
Madrid-San Blas - Canillejas;2020/09/29 11:15:00;368;232,7;1278;808,13;5634;3562,62;79620
Madrid-Barajas;2020/09/29 11:15:00;59;120,54;295;602,72;1464;2991,11;79621
Madrid-Moratalaz;2020/09/29 11:15:00;217;229,46;669;707,41;3693;3905,04;79614
Madrid-Ciudad Lineal;2020/09/29 11:15:00;552;255,22;1761;814,21;8527;3942,5;79615
Madrid-Hortaleza;2020/09/29 11:15:00;265;140,82;931;494,72;5203;2764,8;79616
Madrid-Villaverde;2020/09/29 11:15:00;548;367,92;1498;1005,73;7514;5044,78;79617
Madrid-Villa de Vallecas;2020/09/29 11:15:00;160;144,97;956;866,22;4461;4042,04;79618
Madrid-Vicálvaro;2020/09/29 11:15:00;203;281,59;583;808,7;2728;3784,11;79619
Alcorcón;2020/09/29 11:15:00;275;161,28;1285;753,6;5670;3325,24;72
Navalcarnero;2020/09/29 11:15:00;30;102,4;172;587,07;640;2184,45;967
San Agustín del Guadalix;2020/09/29 11:15:00;6;44,85;94;702,59;396;2959,86;1296
Las Rozas de Madrid;2020/09/29 11:15:00;72;75,15;377;393,47;2040;2129,13;1277
Moraleja de Enmedio;2020/09/29 11:15:00;8;155,76;55;1070,87;172;3348,91;894
Valdaracete;2020/09/29 11:15:00;;0;6;985,22;31;5090,31;1551
Pozuelo del Rey;2020/09/29 11:15:00;;0;;174,37;11;959,02;1163
Puebla de la Sierra;2020/09/29 11:15:00;;0;;1538,46;;1538,46;1185
Perales de Tajuña;2020/09/29 11:15:00;;102,21;13;442,93;98;3339,01;1104
Valdemorillo;2020/09/29 11:15:00;6;47,93;38;303,56;229;1829,37;1603
Navalafuente;2020/09/29 11:15:00;;69,01;6;414,08;39;2691,51;941
Velilla de San Antonio;2020/09/29 11:15:00;14;114,42;83;678,33;352;2876,76;1678
